Rank,City,Population
1,"New York city, New York",8537673
2,"Buffalo city, New York",256902
3,"Rochester city, New York",208880
4,"Yonkers city, New York",200807
5,"Syracuse city, New York",143378
6,"Albany city, New York",98111
7,"New Rochelle city, New York",79557
8,"Mount Vernon city, New York",68344
9,"Schenectady city, New York",64913
10,"Utica city, New York",60652
11,"White Plains city, New York",58241
12,"Hempstead village, New York",55555
13,"Troy city, New York",49702
14,"Niagara Falls city, New York",48632
15,"Binghamton city, New York",45672
16,"Freeport village, New York",43279
17,"Valley Stream village, New York",37673
18,"Long Beach city, New York",33717
19,"Spring Valley village, New York",32603
20,"Rome city, New York",32415
21,"Ithaca city, New York",30756
22,"North Tonawanda city, New York",30607
23,"Poughkeepsie city, New York",30267
24,"Jamestown city, New York",29775
25,"Port Chester village, New York",29524
26,"Harrison village, New York",28340
27,"Newburgh city, New York",28200
28,"Elmira city, New York",27962
29,"Saratoga Springs city, New York",27763
30,"Middletown city, New York",27653
31,"Glen Cove city, New York",27341
32,"Lindenhurst village, New York",27074
33,"Auburn city, New York",26821
34,"Watertown city, New York",25900
35,"Ossining village, New York",25360
36,"Rockville Centre village, New York",24571
37,"Peekskill city, New York",24053
38,"Kingston city, New York",23210
39,"Kiryas Joel village, New York",23094
40,"Garden City village, New York",22545
41,"Lockport city, New York",20480
42,"Plattsburgh city, New York",19780
43,"Lynbrook village, New York",19567
44,"Mamaroneck village, New York",19356
45,"Mineola village, New York",19245
46,"Cortland city, New York",18795
47,"Scarsdale village, New York",17909
48,"Lackawanna city, New York",17868
49,"Amsterdam city, New York",17858
50,"Oswego city, New York",17599
51,"Massapequa Park village, New York",17202
52,"Cohoes city, New York",16883
53,"Rye city, New York",15980
54,"Floral Park village, New York",15951
55,"Westbury village, New York",15384
56,"Depew village, New York",15190
57,"Kenmore village, New York",15143
58,"Gloversville city, New York",14940
59,"Tonawanda city, New York",14858
60,"Batavia city, New York",14801
61,"Mastic Beach village, New York",14760
62,"Johnson City village, New York",14673
63,"Glens Falls city, New York",14328
64,"Beacon city, New York",14271
65,"Oneonta city, New York",13955
66,"Olean city, New York",13794
67,"Endicott village, New York",12992
68,"Geneva city, New York",12988
69,"Patchogue village, New York",12449
70,"Haverstraw village, New York",12129
71,"Babylon village, New York",12079
72,"Dunkirk city, New York",11940
73,"Tarrytown village, New York",11532
74,"Fulton city, New York",11402
75,"Lake Grove village, New York",11162
76,"Mount Kisco village, New York",11103
77,"Dobbs Ferry village, New York",11093
78,"Oneida city, New York",11080
79,"Woodbury village, New York",10986
80,"Suffern village, New York",10948
81,"Corning city, New York",10812
82,"Ogdensburg city, New York",10743
83,"Fredonia village, New York",10639
84,"Massena village, New York",10468
85,"Canandaigua city, New York",10369
86,"West Haverstraw village, New York",10345
87,"Great Neck village, New York",10218
88,"Sleepy Hollow village, New York",10198
89,"Lancaster village, New York",10165
90,"Watervliet city, New York",10120
91,"New Hyde Park village, New York",9863
92,"East Rockaway village, New York",9802
93,"Potsdam village, New York",9708
94,"Hamburg village, New York",9590
95,"Rye Brook village, New York",9575
96,"Amityville village, New York",9494
97,"Rensselaer city, New York",9340
98,"Newark village, New York",8938
99,"Farmingdale village, New York",8857
100,"Airmont village, New York",8856
101,"Monroe village, New York",8600
102,"Port Jervis city, New York",8572
103,"Malverne village, New York",8544
104,"New Square village, New York",8357
105,"Brockport village, New York",8319
106,"Johnstown city, New York",8309
107,"Hornell city, New York",8264
108,"Croton-on-Hudson village, New York",8243
109,"Geneseo village, New York",8158
110,"Chestnut Ridge village, New York",8135
111,"Briarcliff Manor village, New York",8032
112,"Hastings-on-Hudson village, New York",7969
113,"Ilion village, New York",7853
114,"Colonie village, New York",7838
115,"Port Jefferson village, New York",7794
116,"Scotia village, New York",7664
117,"Baldwinsville village, New York",7605
118,"Herkimer village, New York",7455
119,"Northport village, New York",7342
120,"Williston Park village, New York",7289
121,"East Hills village, New York",7173
122,"Pleasantville village, New York",7150
123,"Hudson Falls village, New York",7121
124,"New Paltz village, New York",7046
125,"Pelham village, New York",7020
126,"Great Neck Plaza village, New York",7003
127,"Nyack village, New York",6987
128,"Norwich city, New York",6855
129,"Warwick village, New York",6810
130,"North Syracuse village, New York",6800
131,"Bayville village, New York",6751
132,"Walden village, New York",6721
133,"Cedarhurst village, New York",6667
134,"Manorhaven village, New York",6651
135,"Tuckahoe village, New York",6615
136,"East Rochester village, New York",6611
137,"Irvington village, New York",6587
138,"Lawrence village, New York",6558
139,"Horseheads village, New York",6541
140,"Canton village, New York",6524
141,"Monticello village, New York",6435
142,"Bronxville village, New York",6407
143,"Hudson city, New York",6404
144,"Solvay village, New York",6365
145,"East Aurora village, New York",6198
146,"Larchmont village, New York",6118
147,"Albion village, New York",5962
148,"Wesley Hills village, New York",5914
149,"Hilton village, New York",5876
150,"North Hills village, New York",5814
151,"Medina village, New York",5784
152,"Washingtonville village, New York",5773
153,"Malone village, New York",5686
154,"Bath village, New York",5588
155,"Pelham Manor village, New York",5565
156,"Salamanca city, New York",5552
157,"Webster village, New York",5551
158,"Wappingers Falls village, New York",5506
159,"New Hempstead village, New York",5440
160,"Fairport village, New York",5406
161,"Goshen village, New York",5368
162,"Kaser village, New York",5354
163,"Ballston Spa village, New York",5319
164,"Saranac Lake village, New York",5288
165,"Williamsville village, New York",5236
166,"Kings Point village, New York",5213
167,"Mechanicville city, New York",5100
168,"Sea Cliff village, New York",5054
169,"Waterloo village, New York",5019
170,"Elmsford village, New York",5012
171,"Penn Yan village, New York",4987
172,"Chittenango village, New York",4914
173,"Flower Hill village, New York",4817
174,"Island Park village, New York",4799
175,"Old Westbury village, New York",4743
176,"Little Falls city, New York",4741
177,"Montebello village, New York",4651
178,"Ardsley village, New York",4634
179,"Canastota village, New York",4613
180,"Montgomery village, New York",4572
181,"Cobleskill village, New York",4559
182,"Manlius village, New York",4539
183,"Dansville village, New York",4510
184,"Wellsville village, New York",4484
185,"Springville village, New York",4318
186,"Le Roy village, New York",4249
187,"Waverly village, New York",4190
188,"Fayetteville village, New York",4150
189,"Hamilton village, New York",4122
190,"Liberty village, New York",4092
191,"Alfred village, New York",4060
192,"Ellenville village, New York",4047
193,"Menands village, New York",3964
194,"Chester village, New York",3957
195,"Elmira Heights village, New York",3935
196,"Saugerties village, New York",3869
197,"Catskill village, New York",3837
198,"Highland Falls village, New York",3817
199,"Cayuga Heights village, New York",3803
200,"Owego village, New York",3791
201,"Gouverneur village, New York",3747
202,"Sidney village, New York",3702
203,"Lloyd Harbor village, New York",3694
204,"Muttontown village, New York",3675
205,"Spencerport village, New York",3669
206,"Whitesboro village, New York",3667
207,"Lansing village, New York",3632
208,"Dannemora village, New York",3620
209,"Brookville village, New York",3596
210,"Sloan village, New York",3573
211,"South Glens Falls village, New York",3560
212,"Tupper Lake village, New York",3541
213,"South Nyack village, New York",3530
214,"Perry village, New York",3495
215,"Minoa village, New York",3492
216,"Carthage village, New York",3458
217,"Maybrook village, New York",3428
218,"Hoosick Falls village, New York",3420
219,"Lowville village, New York",3408
220,"Palmyra village, New York",3381
221,"Islandia village, New York",3363
222,"Warsaw village, New York",3347
223,"Fort Edward village, New York",3296
224,"Avon village, New York",3290
225,"New York Mills village, New York",3286
226,"Southampton village, New York",3280
227,"Ravena village, New York",3238
228,"Pomona village, New York",3235
229,"Port Washington North village, New York",3228
230,"South Blooming Grove village, New York",3167
231,"Orchard Park village, New York",3165
232,"Homer village, New York",3143
233,"Delhi village, New York",3137
234,"Sloatsburg village, New York",3118
235,"Lake Success village, New York",3107
236,"Greenwood Lake village, New York",3101
237,"Brightwaters village, New York",3060
238,"Westfield village, New York",3054
239,"Sherrill city, New York",3048
240,"East Syracuse village, New York",2980
241,"Cornwall-on-Hudson village, New York",2925
242,"Walton village, New York",2894
243,"Sands Point village, New York",2886
244,"Lakewood village, New York",2872
245,"Mount Morris village, New York",2868
246,"Florida village, New York",2857
247,"Roslyn village, New York",2856
248,"Akron village, New York",2854
249,"Cazenovia village, New York",2846
250,"Great Neck Estates village, New York",2836
251,"Honeoye Falls village, New York",2820
252,"Voorheesville village, New York",2820
253,"Victor village, New York",2744
254,"Munsey Park village, New York",2728
255,"Thomaston village, New York",2727
256,"Coxsackie village, New York",2686
257,"Gowanda village, New York",2633
258,"Blasdell village, New York",2621
259,"Yorkville village, New York",2616
260,"Green Island village, New York",2598
261,"Rhinebeck village, New York",2592
262,"Lewiston village, New York",2591
263,"Mohawk village, New York",2586
264,"East Williston village, New York",2577
265,"Alden village, New York",2573
266,"Piermont village, New York",2565
267,"Whitehall village, New York",2556
268,"Silver Creek village, New York",2516
269,"Skaneateles village, New York",2487
270,"Frankfort village, New York",2484
271,"Corinth village, New York",2481
272,"Granville village, New York",2466
273,"Harriman village, New York",2462
274,"Attica village, New York",2449
275,"Lake Placid village, New York",2438
276,"Groton village, New York",2372
277,"Brewster village, New York",2346
278,"Pawling village, New York",2305
279,"Falconer village, New York",2295
280,"Pulaski village, New York",2282
281,"Phoenix village, New York",2281
282,"Oyster Bay Cove village, New York",2276
283,"Sag Harbor village, New York",2274
284,"Buchanan village, New York",2265
285,"Liverpool village, New York",2258
286,"Fort Plain village, New York",2229
287,"Greenport village, New York",2204
288,"Old Brookville village, New York",2204
289,"Camden village, New York",2188
290,"Canisteo village, New York",2185
291,"Upper Nyack village, New York",2175
292,"Waterford village, New York",2167
293,"Rouses Point village, New York",2161
294,"Canajoharie village, New York",2146
295,"Caledonia village, New York",2127
296,"Fishkill village, New York",2116
297,"Angola village, New York",2113
298,"Dolgeville village, New York",2113
299,"Lima village, New York",2098
300,"Dryden village, New York",2081
301,"Clifton Springs village, New York",2071
302,"Bellport village, New York",2066
303,"Churchville village, New York",2042
304,"Laurel Hollow village, New York",2038
305,"Boonville village, New York",2025
306,"West Carthage village, New York",2000
307,"Clyde village, New York",1987
308,"Painted Post village, New York",1980
309,"Red Hook village, New York",1979
310,"Arcade village, New York",1972
311,"Stewart Manor village, New York",1969
312,"Scottsville village, New York",1958
313,"Cold Spring village, New York",1948
314,"Phelps village, New York",1933
315,"Youngstown village, New York",1910
316,"Atlantic Beach village, New York",1908
317,"Clayton village, New York",1892
318,"Valatie village, New York",1891
